1#Australian#AS#AS##-27#133#AS#15;1#Australia#AS#AS##-27#133#AS#737	-2.29007633587786,0.763358778625954,3.05343511450382,3.81679389312977,23.6641221374046,2.29007633587786,126
2#Missouri, United States#US#USMO##38.4623#-92.302#MO#80;2#Missouri, United States#US#USMO##38.4623#-92.302#MO#1428;2#Missouri, United States#US#USMO##38.4623#-92.302#MO#2831;1#French#US#FR##46#2#FR#3422;3#-Poplar Bluff, Missouri, United States#US#USMO#MO023#36.757#-90.3929#751712#3296	-2.93609671848014,1.89982728842832,4.83592400690846,6.73575129533679,26.7702936096718,0.345423143350604,534
5#Orissa, Orissa, India#AS#IN21#70217#20.5#84.4167#-2106554#1947;1#India#AS#IN##20#77#IN#1825;1#India#AS#IN##20#77#IN#1954	6.27450980392157,7.45098039215686,1.17647058823529,8.62745098039216,17.3856209150327,0.130718954248366,667
4#Brixton, Lambeth, United Kingdom#NI#UKH1#40133#51.4667#-0.1#-2590937#239;1#British#NI#UK##54#-2#UK#206	7.11111111111111,9.77777777777778,2.66666666666667,12.4444444444444,24.4444444444444,1.11111111111111,394
2#California, United States#CU#USCA##36.17#-119.746#CA#158	-7.58620689655172,0.689655172413793,8.27586206896552,8.96551724137931,23.448275862069,0,132
1#Nigeria#US#NI##10#8#NI#160;1#Nigerians#US#NI##10#8#NI#948;1#Nigerians#US#NI##10#8#NI#1236;1#Nigerians#US#NI##10#8#NI#1595;1#United States#US#US##38#-97#US#572	-4.36241610738255,0.335570469798658,4.69798657718121,5.03355704697987,15.4362416107383,1.00671140939597,259
4#Kanpur, Uttar Pradesh, India#IN#IN36#70269#26.4667#80.35#-2099561#7;4#Kanpur, Uttar Pradesh, India#IN#IN36#70269#26.4667#80.35#-2099561#219;4#Kanpur, Uttar Pradesh, India#IN#IN36#70269#26.4667#80.35#-2099561#572;4#Kanpur, Uttar Pradesh, India#IN#IN36#70269#26.4667#80.35#-2099561#954;4#Kanpur, Uttar Pradesh, India#IN#IN36#70269#26.4667#80.35#-2099561#1230;4#Kalyanpur, Goa, India#IN#IN33#70047#27.1#93.6167#-2097893#736	-1.09090909090909,2.18181818181818,3.27272727272727,5.45454545454545,20,0,256
	-0.588235294117647,2.05882352941176,2.64705882352941,4.70588235294118,24.7058823529412,2.35294117647059,292
1#Russia#AU#RS##60#100#RS#3546;1#Russia#AU#RS##60#100#RS#3668;1#Austria#AU#AU##47.3333#13.3333#AU#2986;2#New York, United States#AU#USNY##42.1497#-74.9384#NY#38;1#Norway#AU#NO##62#10#NO#2976;1#Norway#AU#NO##62#10#NO#3119;1#America#AU#US##38#-97#US#2471;1#Colombia#AU#CO##4#-72#CO#2609;1#Austrian#AU#AU##47.3333#13.3333#AU#3376;1#Canadian#AU#CA##60#-95#CA#2294;1#Canadian#AU#CA##60#-95#CA#2436;1#Bahrain#AU#BA##26#50.55#BA#2119;1#Oman#AU#MU##21#57#MU#2109;1#Mexico#AU#MX##23#-102#MX#2618	-1.61527165932452,2.6431718061674,4.25844346549192,6.90161527165932,20.9985315712188,0.293685756240822,615
4#Munich, Bayern, Germany#GM#GM02#16532#48.15#11.5833#-1829149#903;4#Munich, Bayern, Germany#GM#GM02#16532#48.15#11.5833#-1829149#1310;4#Munich, Bayern, Germany#GM#GM02#16532#48.15#11.5833#-1829149#1367;4#Wolfsburg, Niedersachsen, Germany#GM#GM06#40698#52.4333#10.8#-1890440#10;1#Portugal#GM#PO##39.5#-8#PO#1134	1.03806228373702,5.19031141868512,4.1522491349481,9.34256055363322,25.9515570934256,2.7681660899654,271
1#India#IN#IN##20#77#IN#14;1#India#IN#IN##20#77#IN#432;1#India#IN#IN##20#77#IN#544;1#India#IN#IN##20#77#IN#573;1#India#IN#IN##20#77#IN#642;1#India#IN#IN##20#77#IN#968;1#India#IN#IN##20#77#IN#1694;1#India#IN#IN##20#77#IN#2106;1#India#IN#IN##20#77#IN#2243;4#Mumbai, Maharashtra, India#IN#IN16#70184#18.975#72.8258#-2092174#121;4#Mumbai, Maharashtra, India#IN#IN16#70184#18.975#72.8258#-2092174#530;4#Mumbai, Maharashtra, India#IN#IN16#70184#18.975#72.8258#-2092174#1419;4#Mumbai, Maharashtra, India#IN#IN16#70184#18.975#72.8258#-2092174#1518;4#Pune, Maharashtra, India#IN#IN16#70178#18.5333#73.8667#-2108361#537;4#Aurangabad, Maharashtra, India#IN#IN16#70178#19.8833#75.3333#-2089356#566;4#Nagpur, Maharashtra, India#IN#IN16#17784#21.15#79.1#-2105396#7;4#Nagpur, Maharashtra, India#IN#IN16#17784#21.15#79.1#-2105396#425;4#Nagpur, Maharashtra, India#IN#IN16#17784#21.15#79.1#-2105396#635;4#Nagpur, Maharashtra, India#IN#IN16#17784#21.15#79.1#-2105396#1687;4#Nagpur, Maharashtra, India#IN#IN16#17784#21.15#79.1#-2105396#2099;4#Bombay, Maharashtra, India#IN#IN16#70184#18.975#72.8258#-2092174#961	1.05540897097625,1.58311345646438,0.527704485488127,2.11081794195251,22.1635883905013,1.31926121372032,346
2#Missouri, United States#US#USMO##38.4623#-92.302#MO#131;2#Missouri, United States#US#USMO##38.4623#-92.302#MO#1824;2#Missouri, United States#US#USMO##38.4623#-92.302#MO#2479;2#Missouri, United States#US#USMO##38.4623#-92.302#MO#2575;2#Alabama, United States#US#USAL##32.799#-86.8073#AL#1834;2#Alabama, United States#US#USAL##32.799#-86.8073#AL#2489	3.59550561797753,4.26966292134831,0.674157303370786,4.9438202247191,22.247191011236,0.674157303370786,398
2#Arkansas, United States#US#USAR##34.9513#-92.3809#AR#60;3#Alma Middle School, Arkansas, United States#US#USAR#AR033#35.489#-94.2151#65663#620	-0.536193029490617,2.41286863270777,2.94906166219839,5.36193029490617,25.201072386059,1.34048257372654,348
